date,date_japanese_era,seq,municipality_class,ward_jp,park_class_jp,park_count,park_area_m2,tokyo_ward,municipality_class_en,park_class_en
2016-04-01,H28.4.1,17,区部,北区,区市町村,84.0,883433.96,Kita,Ward area,Ward municipality
2016-04-01,H28.4.1,18,区部,荒川区,区市町村,33.0,141557.76,Arakawa,Ward area,Ward municipality
2016-04-01,H28.4.1,19,区部,板橋区,区市町村,344.0,1421791.06,Itabashi,Ward area,Ward municipality
2016-04-01,H28.4.1,20,区部,練馬区,区市町村,449.0,922077.49,Nerima,Ward area,Ward municipality
2016-04-01,H28.4.1,21,区部,足立区,区市町村,335.0,2202801.12,Adachi,Ward area,Ward municipality
2016-04-01,H28.4.1,22,区部,葛飾区,区市町村,146.0,875183.14,Katsushika,Ward area,Ward municipality
2016-04-01,H28.4.1,23,区部,江戸川区,区市町村,311.0,2057080.94,Edogawa,Ward area,Ward municipality
2016-04-01,H28.4.1,1,市部,八王子市,区市町村,786.0,5535908.0,,city ​​area,Ward municipality
2016-04-01,H28.4.1,2,市部,立川市,区市町村,96.0,559456.26,,city ​​area,Ward municipality
2016-04-01,H28.4.1,3,市部,武蔵野市,区市町村,112.0,195607.0,,city ​​area,Ward municipality
2016-04-01,H28.4.1,4,市部,三鷹市,区市町村,37.0,110344.53,,city ​​area,Ward municipality
2016-04-01,H28.4.1,5,市部,青梅市,区市町村,99.0,602357.36,,city ​​area,Ward municipality
2016-04-01,H28.4.1,6,市部,府中市,区市町村,274.0,1299063.41,,city ​​area,Ward municipality
2016-04-01,H28.4.1,7,市部,昭島市,区市町村,38.0,456087.25,,city ​​area,Ward municipality
2016-04-01,H28.4.1,8,市部,調布市,区市町村,199.0,288602.19,,city ​​area,Ward municipality
2016-04-01,H28.4.1,9,市部,町田市,区市町村,703.0,3195448.55,,city ​​area,Ward municipality
2016-04-01,H28.4.1,10,市部,小金井市,区市町村,11.0,67650.0,,city ​​area,Ward municipality
2016-04-01,H28.4.1,11,市部,小平市,区市町村,304.0,351282.15,,city ​​area,Ward municipality
2016-04-01,H28.4.1,12,市部,日野市,区市町村,198.0,699448.0,,city ​​area,Ward municipality
2016-04-01,H28.4.1,13,市部,東村山市,区市町村,17.0,118902.81,,city ​​area,Ward municipality
2016-04-01,H28.4.1,14,市部,国分寺市,区市町村,13.0,83442.68,,city ​​area,Ward municipality
2016-04-01,H28.4.1,15,市部,国立市,区市町村,25.0,141893.36,,city ​​area,Ward municipality
2016-04-01,H28.4.1,16,市部,福生市,区市町村,55.0,401218.55,,city ​​area,Ward municipality
2016-04-01,H28.4.1,17,市部,狛江市,区市町村,27.0,106081.39,,city ​​area,Ward municipality
2016-04-01,H28.4.1,18,市部,東大和市,区市町村,96.0,306945.95,,city ​​area,Ward municipality
2016-04-01,H28.4.1,19,市部,清瀬市,区市町村,4.0,50685.48,,city ​​area,Ward municipality
2016-04-01,H28.4.1,20,市部,東久留米市,区市町村,135.0,193499.86,,city ​​area,Ward municipality
2016-04-01,H28.4.1,21,市部,武蔵村山市,区市町村,18.0,220235.66,,city ​​area,Ward municipality
2016-04-01,H28.4.1,22,市部,多摩市,区市町村,208.0,2008908.2,,city ​​area,Ward municipality
2016-04-01,H28.4.1,23,市部,稲城市,区市町村,119.0,975418.65,,city ​​area,Ward municipality
2016-04-01,H28.4.1,24,市部,羽村市,区市町村,73.0,339717.37,,city ​​area,Ward municipality
2016-04-01,H28.4.1,25,市部,あきる野市,区市町村,32.0,181039.74,,city ​​area,Ward municipality
2016-04-01,H28.4.1,26,市部,西東京市,区市町村,49.0,164454.4,,city ​​area,Ward municipality
2016-04-01,H28.4.1,1,郡部,瑞穂町,区市町村,53.0,171065.75,,county,Ward municipality
2016-04-01,H28.4.1,2,郡部,日の出町,区市町村,23.0,55644.7,,county,Ward municipality
2016-04-01,H28.4.1,1,島部,大島町,区市町村,1.0,1155.0,,island part,Ward municipality
2016-04-01,H28.4.1,2,島部,新島村,区市町村,4.0,12400.0,,island part,Ward municipality
2016-04-01,H28.4.1,4,島部,八丈町,区市町村,4.0,112971.38,,island part,Ward municipality
2016-04-01,H28.4.1,9,島部,小笠原村,区市町村,3.0,9406.68,,island part,Ward municipality
2016-04-01,H28.4.1,8,区部,江東区,国営,1.0,67000.0,Koto,Ward area,National government
2016-04-01,H28.4.1,2,市部,立川市,国営,1.0,1078000.0,,city ​​area,National government
